x1,y1,x2,y2,collection,name,bc_type,bc_x,bc_y
-183.0,-0.23,-178.46,-0.153,topo,0,t,0.0,0.0
-178.46,-0.153,-173.921,-0.076,topo,1,t,0.0,0.0
-173.921,-0.076,-169.382,0.0,topo,2,t,0.0,0.0
-169.382,0.0,-165.678,0.23,topo,0,t,0.0,0.0
-165.678,0.23,-161.975,0.461,topo,1,t,0.0,0.0
-161.975,0.461,-159.506,0.576,topo,2,t,0.0,0.0
-159.506,0.576,-158.641,0.692,topo,3,t,0.0,0.0
-158.641,0.692,-155.679,0.23,topo,4,t,0.0,0.0
-155.679,0.23,-151.728,0.23,topo,5,t,0.0,0.0
-151.728,0.23,-150.123,0.115,topo,6,t,0.0,0.0
-150.123,0.115,-147.777,0.576,topo,7,t,0.0,0.0
-147.777,0.576,-146.79,0.576,topo,8,t,0.0,0.0
-146.79,0.576,-145.185,0.692,topo,9,t,0.0,0.0
-145.185,0.692,-143.95,1.153,topo,10,t,0.0,0.0
-143.95,1.153,-142.222,1.153,topo,11,t,0.0,0.0
-142.222,1.153,-140.864,0.576,topo,12,t,0.0,0.0
-140.864,0.576,-138.395,0.923,topo,13,t,0.0,0.0
-138.395,0.923,-136.913,1.384,topo,14,t,0.0,0.0
-136.913,1.384,-134.938,1.846,topo,15,t,0.0,0.0
-134.938,1.846,-133.95,1.961,topo,16,t,0.0,0.0
-133.95,1.961,-129.506,1.846,topo,17,t,0.0,0.0
-129.506,1.846,-128.518,2.076,topo,18,t,0.0,0.0
-128.518,2.076,-124.938,0.923,topo,19,t,0.0,0.0
-124.938,0.923,-123.95,1.038,topo,20,t,0.0,0.0
-123.95,1.038,-123.086,1.153,topo,21,t,0.0,0.0
-123.086,1.153,-121.604,0.923,topo,22,t,0.0,0.0
-121.604,0.923,-120.0,0.576,topo,23,t,0.0,0.0
-120.0,0.576,-118.518,1.038,topo,24,t,0.0,0.0
-118.518,1.038,-116.79,0.923,topo,25,t,0.0,0.0
-116.79,0.923,-115.308,0.923,topo,26,t,0.0,0.0
-115.308,0.923,-113.58,1.5,topo,27,t,0.0,0.0
-113.58,1.5,-112.098,1.5,topo,28,t,0.0,0.0
-112.098,1.5,-110.617,1.038,topo,29,t,0.0,0.0
-110.617,1.038,-108.148,0.576,topo,30,t,0.0,0.0
-108.148,0.576,-105.925,0.461,topo,31,t,0.0,0.0
-105.925,0.461,-102.962,0.692,topo,32,t,0.0,0.0
-102.962,0.692,-100.864,0.692,topo,33,t,0.0,0.0
-100.864,0.692,-98.888,0.923,topo,34,t,0.0,0.0
-98.888,0.923,-98.024,1.038,topo,35,t,0.0,0.0
-98.024,1.038,-95.802,0.692,topo,36,t,0.0,0.0
-95.802,0.692,-91.975,1.961,topo,37,t,0.0,0.0
-91.975,1.961,-90.37,1.615,topo,38,t,0.0,0.0
-90.37,1.615,-88.888,2.307,topo,39,t,0.0,0.0
-88.888,2.307,-86.543,2.307,topo,40,t,0.0,0.0
-86.543,2.307,-83.209,1.038,topo,41,t,0.0,0.0
-83.209,1.038,-80.987,1.615,topo,42,t,0.0,0.0
-80.987,1.615,-78.765,1.961,topo,43,t,0.0,0.0
-78.765,1.961,-77.16,2.307,topo,44,t,0.0,0.0
-77.16,2.307,-74.691,1.615,topo,45,t,0.0,0.0
-74.691,1.615,-71.851,2.769,topo,46,t,0.0,0.0
-71.851,2.769,-68.765,3.23,topo,47,t,0.0,0.0
-68.765,3.23,-66.913,2.423,topo,48,t,0.0,0.0
-66.913,2.423,-65.185,2.423,topo,49,t,0.0,0.0
-65.185,2.423,-63.456,1.615,topo,50,t,0.0,0.0
-63.456,1.615,-62.716,2.538,topo,51,t,0.0,0.0
-62.716,2.538,-61.481,2.538,topo,52,t,0.0,0.0
-61.481,2.538,-59.012,3.807,topo,53,t,0.0,0.0
-59.012,3.807,-57.283,3.346,topo,54,t,0.0,0.0
-57.283,3.346,-53.95,3.346,topo,55,t,0.0,0.0
-53.95,3.346,-51.481,3.749,topo,0,t,0.0,0.0
-51.481,3.749,-49.012,4.153,topo,1,t,0.0,0.0
-49.012,4.153,-46.666,3.23,topo,57,t,0.0,0.0
-46.666,3.23,-45.185,3.923,topo,58,t,0.0,0.0
-45.185,3.923,-42.592,4.153,topo,59,t,0.0,0.0
-42.592,4.153,-40.617,3.692,topo,60,t,0.0,0.0
-40.617,3.692,-39.753,3.807,topo,61,t,0.0,0.0
-39.753,3.807,-38.024,3.692,topo,62,t,0.0,0.0
-38.024,3.692,-35.802,4.153,topo,63,t,0.0,0.0
-35.802,4.153,-34.074,3.923,topo,64,t,0.0,0.0
-34.074,3.923,-32.592,5.192,topo,65,t,0.0,0.0
-32.592,5.192,-29.876,4.73,topo,66,t,0.0,0.0
-29.876,4.73,-25.185,4.384,topo,67,t,0.0,0.0
-25.185,4.384,-20.493,4.269,topo,68,t,0.0,0.0
-20.493,4.269,-16.666,4.096,topo,0,t,0.0,0.0
-16.666,4.096,-12.839,3.923,topo,1,t,0.0,0.0
